Date,Open,High,Low,Close,Volume
2005-01-03,30.7956,30.9421,30.4864,30.5135,3157300
2005-01-04,30.7034,30.8336,30.0796,30.1067,4277600
2005-01-05,30.2314,30.481,30.1067,30.4213,3393900
2005-01-06,30.3779,30.8065,30.3182,30.6654,2940100
2005-01-07,30.6654,30.7576,30.4701,30.519,2948600
2005-01-10,30.4322,30.9692,30.3237,30.8878,2908000
2005-01-11,30.8878,30.9855,30.5949,30.9367,3392100
2005-01-12,30.9584,31.3706,30.8607,31.3435,4472700
2005-01-13,31.2079,31.3272,30.6003,30.6058,3659900
2005-01-14,30.5678,31.0831,30.5298,31.056,3207400
2005-01-18,31.056,31.2893,30.7088,31.2133,3080100
2005-01-19,31.1536,31.2893,30.8987,30.9204,2463400
2005-01-20,30.9204,31.1102,30.4376,30.6112,3297300
2005-01-21,30.4864,30.5515,29.9873,30.009,3470600
2005-01-24,30.1338,30.2043,29.7487,29.7487,3075500
2005-01-25,30.0253,30.2152,29.7161,29.7541,3015800
2005-01-26,30.5135,31.0126,30.047,30.1067,6320300
2005-01-27,29.9711,30.2803,29.8626,30.1447,3915200
2005-01-28,30.0253,30.0253,28.6746,29.0652,5922500
2005-01-31,29.152,29.6727,29.1031,29.4232,4901300
2005-02-01,29.4286,29.7107,29.2116,29.7053,2690100
2005-02-02,29.6293,30.1013,29.5208,29.9114,2721700
2005-02-03,29.9114,29.944,29.6239,29.7649,3401500
2005-02-04,29.6781,30.0253,29.5642,29.8517,2220300
2005-02-07,29.9874,30.4647,29.9168,30.2369,2045600
2005-02-08,29.9439,30.1609,29.868,30.0524,2800300
2005-02-09,30.2152,30.443,29.6076,29.6456,2539100
2005-02-10,29.8246,29.8355,29.5642,29.727,1982000
2005-02-11,29.8471,30.9669,29.8253,30.3169,2713900
2005-02-14,30.5627,30.5791,30.0656,30.2623,2105300
2005-02-15,30.1804,30.5354,30.0165,30.4644,3362100
2005-02-16,30.3278,30.5026,30.0656,30.2787,2534800
2005-02-17,30.2022,30.4207,30.0492,30.1148,2760300
2005-02-18,30.1694,30.1694,29.6887,29.8253,4445700
2005-02-22,29.8635,30.0984,29.7707,29.8034,3842100
2005-02-23,29.8799,30.0656,29.8034,29.9509,2189200
2005-02-24,30.0055,30.1476,29.8089,30.1093,2534600
2005-02-25,30.0602,30.5245,30.011,30.4972,2425400
2005-02-28,30.5136,30.7539,30.1858,30.59,3016200
2005-03-01,30.6993,30.9396,30.5737,30.8577,2692100
2005-03-02,30.6337,31.1363,30.519,30.7812,2889100
